專案名稱,任務名稱,標籤,主責人員,預計完成時間,狀態,權重,目標總數,是否急件,母任務名稱 (留空代表自己是母任務)
🌊 專案 A (海岸清理),一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化,一般,佑昇,2026/10/30,規劃中,35,0,0,
🌊 專案 A (海岸清理),申請HTTPS憑證,一般,佑昇,2026/12/31,規劃中,0,0,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),1.整合更新海岸權責範圍圖資,一般,佑昇,2026/6/30,規劃中,4,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),2.淨灘決策支援功能相關資料蒐集與更新,一般,佑昇,2026/6/30,規劃中,5,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),3.建置海岸清理資訊平台智慧客服功能,一般,佑昇,2026/8/15,規劃中,5,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),4.建置海岸清理資訊平台一頁式外文網頁,一般,佑昇,2026/8/30,規劃中,4,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),5.新增淨灘活動量能管理功能,一般,佑昇,2026/8/30,規劃中,5,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),6.導入無障礙設計規範，取得網站AA等級標章認證,一般,佑昇,2026/10/30,規劃中,7,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),7.辦理海岸清理資訊平台系統操作實體暨線上教育訓練,活動辦理,佑昇,2026/11/1,規劃中,5,1,0,一、海岸清理資訊平台及海岸認養淨灘系統功能維護與優化
🌊 專案 A (海岸清理),二、辦理海岸清理維護業務會議及相關活動（觀摩會、記者會、論壇、淨灘活動或業務單位指定活動）,活動辦理,惠蓉,2026/10/30,規劃中,16,0,0,
🌊 專案 A (海岸清理),1.辦理海岸相關協商會議或教育訓練活動共計5場次,活動辦理,惠蓉,2026/6/22,規劃中,5,5,0,二、辦理海岸清理維護業務會議及相關活動（觀摩會、記者會、論壇、淨灘活動或業務單位指定活動）
🌊 專案 A (海岸清理),2.辦理向海致敬業務相關之記者會、觀摩會、公民咖啡館、成果發表會或署內指定相關活動2場次,活動辦理,惠蓉,2026/6/30,規劃中,4,2,0,二、辦理海岸清理維護業務會議及相關活動（觀摩會、記者會、論壇、淨灘活動或業務單位指定活動）
🌊 專案 A (海岸清理),3.辦理3場次海岸淨灘環境教育推廣活動或海廢垃圾DIY再利用課程,活動辦理,惠蓉,2026/7/31,規劃中,3,1,0,二、辦理海岸清理維護業務會議及相關活動（觀摩會、記者會、論壇、淨灘活動或業務單位指定活動）
🌊 專案 A (海岸清理),4.辦理2場次海岸/洋環境督導視察暨環境教育活動,活動辦理,惠蓉,2026/5/30,規劃中,4,1,0,二、辦理海岸清理維護業務會議及相關活動（觀摩會、記者會、論壇、淨灘活動或業務單位指定活動）
🌊 專案 A (海岸清理),"三、執行中央部會或地方政府轄管海岸廢棄物調查輔導查核作業									",現場會勘,惠蓉,2026/10/30,規劃中,31,0,0,
🌊 專案 A (海岸清理),1.辦理海岸廢棄物調查作業輔導與查核，總計19場次,現場會勘,榮志,2026/4/30,規劃中,19,19,0,"三、執行中央部會或地方政府轄管海岸廢棄物調查輔導查核作業									"
🌊 專案 A (海岸清理),2.中央部會或地方政府執行海岸廢棄物查核現勘作業，至少5場次,現場會勘,惠蓉,2026/8/30,規劃中,5,5,0,"三、執行中央部會或地方政府轄管海岸廢棄物調查輔導查核作業									"
🌊 專案 A (海岸清理),3.協助查核中央部會或地方政府執行海岸巡檢作業10場次,現場會勘,惠蓉,2026/8/30,規劃中,5,10,0,"三、執行中央部會或地方政府轄管海岸廢棄物調查輔導查核作業									"
🌊 專案 A (海岸清理),4.彙整各縣市海岸廢棄物監測數據，分析海廢垃圾組成變化,數據處理,榮志,2026/4/30,規劃中,2,1,0,"三、執行中央部會或地方政府轄管海岸廢棄物調查輔導查核作業									"
🌊 專案 A (海岸清理),四、協助「向海致敬-海岸清潔維護計畫」計畫執行、進度控管及成果彙整,一般,惠蓉,2026/10/30,規劃中,7,0,0,
🌊 專案 A (海岸清理),1.協調通報案件權責、追蹤通報案件清理進度、天災後清理復原情形、輿情辦理情形追蹤,數據處理,榮志,2026/4/30,規劃中,2,1,0,四、協助「向海致敬-海岸清潔維護計畫」計畫執行、進度控管及成果彙整
🌊 專案 A (海岸清理),2.協助彙整向海致敬各部會管考及縣（市）政府績效考核計畫之辦理情形與協助製作院會簡報、階段成果資料等相關作業,數據處理,惠蓉,2026/10/30,規劃中,2,1,0,四、協助「向海致敬-海岸清潔維護計畫」計畫執行、進度控管及成果彙整
🌊 專案 A (海岸清理),3.協助彙整其他向海致敬辦理機關之目標、工作項目及經費等資料，撰寫「向海致敬-海岸清潔維護計畫」第三期計畫書（初稿）,一般,惠蓉,2026/6/30,規劃中,3,1,0,四、協助「向海致敬-海岸清潔維護計畫」計畫執行、進度控管及成果彙整
🌊 專案 A (海岸清理),五、向海致敬業務成果宣導,一般,榮志,2026/10/30,規劃中,5,0,0,
🌊 專案 A (海岸清理),製作向海致敬相關業務及淨灘文案（貼文及圖卡）共計10則,一般,榮志,2026/5/30,規劃中,5,10,0,五、向海致敬業務成果宣導
🌊 專案 A (海岸清理),六、健全維護管理機制及功能，並落實網路安全管理相關作業,行政作業,佑昇,2026/10/30,規劃中,6,0,0,
🌊 專案 A (海岸清理),1.監控及紀錄系統資源使用狀況、維持本團隊之主機安全性更新升級與管理作業工作,行政作業,佑昇,2026/10/30,規劃中,3,1,0,六、健全維護管理機制及功能，並落實網路安全管理相關作業
🌊 專案 A (海岸清理),2.配合監資處資安等級提升，進行網站檢視及調修作業，確保系統資訊安全,行政作業,佑昇,2026/10/30,規劃中,3,1,0,六、健全維護管理機制及功能，並落實網路安全管理相關作業
🌊 專案 A (海岸清理),計畫查核點,行政作業,佑昇,2026/10/30,規劃中,0,0,0,
🌊 專案 A (海岸清理),第一次進度報告,行政作業,佑昇,2026/6/1,規劃中,0,0,0,計畫查核點
🌊 專案 A (海岸清理),期中報告,行政作業,佑昇,2026/9/1,規劃中,0,0,0,計畫查核點
🌊 專案 A (海岸清理),成果報告,行政作業,佑昇,2026/12/1,規劃中,0,0,0,計畫查核點
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
??? 專案 B (新北巡檢),租借推土機,現場,老王,2026/4/5,?? 待辦事項,1,1,0,
